Method,Description,Precision,Recall,F1,AUC_PR,Flagged,TP
Threshold amt>$500,Simple threshold,0.2158,0.4853,0.2987,0.1074,21709,4684
Isolation Forest,Unsupervised (cont=0.01),0.1704,0.327,0.224,0.0592,18524,3156
Assoc. Rules (lift≥3x),25 interpretable rules,0.0162,0.8588,0.0319,0.0147,510240,8288
RF Base,"RF 9 features, threshold tuned",0.882816408204102,0.7314267951507616,0.8000226667422224,0.8592966797216346,7996,7059
XGBoost Base,"XGB 9 features, threshold tuned",0.7112112963593059,0.8663350948088281,0.7811463539963563,0.8939725942051042,11756,8361
RF Rule-Augmented,RF + rule flags,0.8356845513413506,0.7488343176872863,0.7898792283731352,0.8380341757574711,8648,7227
XGBoost Augmented,XGB + rule flags,0.7096555235024605,0.8666459434255518,0.7803330689928628,0.8938605982439508,11786,8364
