Method,Description,Precision,Recall,F1,AUC-PR,Flagged,TruePositives
Baseline: amt > $500,Simple threshold rule,0.21576304758395135,0.4853383069112009,0.29872448979591837,0.10739946720319715,21709,4684
Isolation Forest (cont=0.01),Unsupervised anomaly detection,0.17037356942345067,0.3270127447932857,0.22402839396628216,0.05922060208076117,18524,3156
Assoc. Rules (lift ≥ 3x),25 interpretable fraud rules,0.016243336469112576,0.8587711118018858,0.03188360637133553,0.014685112704801372,510240,8288
